AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,hour
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190705_000000.WAV,GRABADOR-SDZG-AM-1,20190705_000000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,05.07.2019 00:00,60.00046875,,Recorded at 00:00:00 05/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:36:18-08:00,WAV,WAV,audio/x-wav,0.0
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190623_013000.WAV,GRABADOR-SDZG-AM-1,20190623_013000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,23.06.2019 01:30,60.00046875,,Recorded at 01:30:00 23/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:42:11-08:00,WAV,WAV,audio/x-wav,1.0
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190703_024000.WAV,GRABADOR-SDZG-AM-1,20190703_024000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,03.07.2019 02:40,60.00046875,,Recorded at 02:40:00 03/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:27:44-08:00,WAV,WAV,audio/x-wav,2.0
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190621_030000.WAV,GRABADOR-SDZG-AM-1,20190621_030000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21.06.2019 03:00,60.00046875,,Recorded at 03:00:00 21/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:33:28-08:00,WAV,WAV,audio/x-wav,3.0
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_043000.WAV,GRABADOR-SDZG-AM-1,20190619_043000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 04:30,60.00046875,,Recorded at 04:30:00 19/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:24:41-08:00,WAV,WAV,audio/x-wav,4.0
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190617_055000.WAV,GRABADOR-SDZG-AM-1,20190617_055000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,17.06.2019 05:50,60.00046875,,Recorded at 05:50:00 17/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.5V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:15:56-08:00,WAV,WAV,audio/x-wav,5.0
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190624_060000.WAV,GRABADOR-SDZG-AM-1,20190624_060000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 06:00,60.00046875,,Recorded at 06:00:00 24/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:47:34-08:00,WAV,WAV,audio/x-wav,6.0
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190702_072000.WAV,GRABADOR-SDZG-AM-1,20190702_072000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,02.07.2019 07:20,60.00046875,,Recorded at 07:20:00 02/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:24:03-08:00,WAV,WAV,audio/x-wav,7.0
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190704_080000.WAV,GRABADOR-SDZG-AM-1,20190704_080000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,04.07.2019 08:00,60.00046875,,Recorded at 08:00:00 04/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.7V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:33:18-08:00,WAV,WAV,audio/x-wav,8.0
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190622_095000.WAV,GRABADOR-SDZG-AM-1,20190622_095000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,22.06.2019 09:50,60.00046875,,Recorded at 09:50:00 22/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:39:14-08:00,WAV,WAV,audio/x-wav,9.0
